列名,方案,level,raw_bytes,comp_bytes,ratio,enc_GBps,dec_GBps
ts_ms,RAW,,80000000,80000000,1.0000,4.4016,4.6497
ts_ms,RLEDICT,,80000000,119919416,0.6671,0.8455,2.5740
ts_ms,ZSTD_ON_RAW,1,80000000,20347635,3.9317,0.7087,1.1212
ts_ms,ZSTD_ON_RLEDICT,1,80000000,47051295,1.7003,0.5477,0.5730
ts_ms,ZSTD_ON_RAW,3,80000000,20347373,3.9317,0.4820,1.1310
ts_ms,ZSTD_ON_RLEDICT,3,80000000,47166660,1.6961,0.4034,0.5763
ts_ms,ZSTD_ON_RAW,9,80000000,20351284,3.9310,0.0995,1.1292
ts_ms,ZSTD_ON_RLEDICT,9,80000000,46729790,1.7120,0.0912,0.5665
ts_ms,ZSTD_ON_RAW,19,80000000,21195577,3.7744,0.0034,0.9629
ts_ms,ZSTD_ON_RLEDICT,19,80000000,27756934,2.8822,0.0024,0.3918
